starting the training:
Epoch 15300/50000, Loss: 0.7556
Epoch 15400/50000, Loss: 0.7555
Epoch 15500/50000, Loss: 0.7554
Epoch 15600/50000, Loss: 0.7553
Epoch 15700/50000, Loss: 0.7552
Epoch 15800/50000, Loss: 0.7551
Epoch 15900/50000, Loss: 0.7550
Epoch 16000/50000, Loss: 0.7549
Epoch 16100/50000, Loss: 0.7548
Epoch 16200/50000, Loss: 0.7547
Epoch 16300/50000, Loss: 0.7546
Epoch 16400/50000, Loss: 0.7545
Epoch 16500/50000, Loss: 0.7544
Epoch 16600/50000, Loss: 0.7544
Epoch 16700/50000, Loss: 0.7543
Epoch 16800/50000, Loss: 0.7542
Epoch 16900/50000, Loss: 0.7541
Epoch 17000/50000, Loss: 0.7540
Epoch 17100/50000, Loss: 0.7539
Epoch 17200/50000, Loss: 0.7538
Epoch 17300/50000, Loss: 0.7537
Epoch 17400/50000, Loss: 0.7537
Epoch 17500/50000, Loss: 0.7536
Epoch 17600/50000, Loss: 0.7535
Epoch 17700/50000, Loss: 0.7534
Epoch 17800/50000, Loss: 0.7533
Epoch 17900/50000, Loss: 0.7533
Epoch 18000/50000, Loss: 0.7532
Epoch 18100/50000, Loss: 0.7531
Epoch 18200/50000, Loss: 0.7530
Epoch 18300/50000, Loss: 0.7530
Epoch 18400/50000, Loss: 0.7529
Epoch 18500/50000, Loss: 0.7528
Epoch 18600/50000, Loss: 0.7527
Epoch 18700/50000, Loss: 0.7527
Epoch 18800/50000, Loss: 0.7526
Epoch 18900/50000, Loss: 0.7525
Epoch 19000/50000, Loss: 0.7525
Epoch 19100/50000, Loss: 0.7524
Epoch 19200/50000, Loss: 0.7523
Epoch 19300/50000, Loss: 0.7523
Epoch 19400/50000, Loss: 0.7522
Epoch 19500/50000, Loss: 0.7521
Epoch 19600/50000, Loss: 0.7521
Epoch 19700/50000, Loss: 0.7520
Epoch 19800/50000, Loss: 0.7519
Epoch 19900/50000, Loss: 0.7519
Epoch 20000/50000, Loss: 0.7518
Epoch 20100/50000, Loss: 0.7518
Epoch 20200/50000, Loss: 0.7517
Epoch 20300/50000, Loss: 0.7516
Epoch 20400/50000, Loss: 0.7516
Epoch 20500/50000, Loss: 0.7515
Epoch 20600/50000, Loss: 0.7515
Epoch 20700/50000, Loss: 0.7514
Epoch 20800/50000, Loss: 0.7514
Epoch 20900/50000, Loss: 0.7513
Epoch 21000/50000, Loss: 0.7512
Epoch 21100/50000, Loss: 0.7512
Epoch 21200/50000, Loss: 0.7511
Epoch 21300/50000, Loss: 0.7511
Epoch 21400/50000, Loss: 0.7510
Epoch 21500/50000, Loss: 0.7510
Epoch 21600/50000, Loss: 0.7509
Epoch 21700/50000, Loss: 0.7509
Epoch 21800/50000, Loss: 0.7508
Epoch 21900/50000, Loss: 0.7508
Epoch 22000/50000, Loss: 0.7507
Epoch 22100/50000, Loss: 0.7507
Epoch 22200/50000, Loss: 0.7506
Epoch 22300/50000, Loss: 0.7506
Epoch 22400/50000, Loss: 0.7506
Epoch 22500/50000, Loss: 0.7505
Epoch 22600/50000, Loss: 0.7505
Epoch 22700/50000, Loss: 0.7504
Epoch 22800/50000, Loss: 0.7504
Epoch 22900/50000, Loss: 0.7503
Epoch 23000/50000, Loss: 0.7503
Epoch 23100/50000, Loss: 0.7502
Epoch 23200/50000, Loss: 0.7502
Epoch 23300/50000, Loss: 0.7502
Epoch 23400/50000, Loss: 0.7501
Epoch 23500/50000, Loss: 0.7501
Epoch 23600/50000, Loss: 0.7500
Epoch 23700/50000, Loss: 0.7500
Epoch 23800/50000, Loss: 0.7500
Epoch 23900/50000, Loss: 0.7499
Epoch 24000/50000, Loss: 0.7499
Epoch 24100/50000, Loss: 0.7498
Epoch 24200/50000, Loss: 0.7498
Epoch 24300/50000, Loss: 0.7498
Epoch 24400/50000, Loss: 0.7497
Epoch 24500/50000, Loss: 0.7497
Epoch 24600/50000, Loss: 0.7497
Epoch 24700/50000, Loss: 0.7496
Epoch 24800/50000, Loss: 0.7496
Epoch 24900/50000, Loss: 0.7495
Epoch 25000/50000, Loss: 0.7495
Epoch 25100/50000, Loss: 0.7495
Epoch 25200/50000, Loss: 0.7494
Epoch 25300/50000, Loss: 0.7494
Epoch 25400/50000, Loss: 0.7494
Epoch 25500/50000, Loss: 0.7493
Epoch 25600/50000, Loss: 0.7493
